Kode DC,Tgl PP,Cabang,No PP,Bulan,Desc,Qty,Status,Suppl,Cek
G030,2026-03-03,Dc Makassar,03G030/0972316/03/2026,March,PLASTIC HINGE BRONJONG (@50 PCS),2.0,BTB,"DWI SAHABAT SEJATI INDONESIA, PT",0972316
G146,2026-03-03,Dc Lombok,03G146/0972327/03/2026,March,RODA DOLLY IDM -,200.0,BTB,"RODA HAMMERINDO JAYA, PT",0972327
G033,2026-03-05,Dc Tangerang 2,03G033/0973536/03/2026,March,RODA DOLLY IDM -,100.0,BTB,"RODA HAMMERINDO JAYA, PT",0973536
G033,2026-03-05,Dc Tangerang 2,03G033/0973536/03/2026,March,STICK PIN ENGSEL TUTUP KONTAINER DC @40 PCS,20.0,BTB,"YASUNLI ABADI UTAMA PLASTIK, PT",0973536
G033,2026-03-05,Dc Tangerang 2,03G033/0973536/03/2026,March,RODA DOLLY IDM (TANPA BRACKET),100.0,BTB,"RODA HAMMERINDO JAYA, PT",0973536
G033,2026-03-05,Dc Tangerang 2,03G033/0973539/03/2026,March,PART BRONJONG NEW DESIGN BASE NETT,10.0,BTB,"DWI SAHABAT SEJATI INDONESIA, PT",0973539
G033,2026-03-05,Dc Tangerang 2,03G033/0973539/03/2026,March,PART BRONJONG NEW DESIGN REAR NET,10.0,BTB,"DWI SAHABAT SEJATI INDONESIA, PT",0973539
G305,2026-03-05,Dc Gresik,03G305/0973553/03/2026,March,RODA DOLLY IDM -,400.0,BTB,"RODA HAMMERINDO JAYA, PT",0973553
G080,2026-03-05,Dc Purwakarta,03G080/0973567/03/2026,March,RODA DOLLY IDM -,500.0,BTB,"RODA HAMMERINDO JAYA, PT",0973567
G080,2026-03-05,Dc Purwakarta,03G080/0973567/03/2026,March,RODA NON BRAKE ( DEPAN ) -,200.0,BTB,"RODA HAMMERINDO JAYA, PT",0973567
G080,2026-03-05,Dc Purwakarta,03G080/0973567/03/2026,March,RODA BRAKE ( BELAKANG ) -,200.0,BTB,"RODA HAMMERINDO JAYA, PT",0973567
G801,2026-03-05,Dc Semarang,03G801/0973579/03/2026,March,RODA NON BRAKE ( DEPAN ) -,100.0,BTB,"RODA HAMMERINDO JAYA, PT",0973579
G801,2026-03-05,Dc Semarang,03G801/0973579/03/2026,March,RODA BRAKE ( BELAKANG ) -,80.0,BTB,"RODA HAMMERINDO JAYA, PT",0973579
G801,2026-03-05,Dc Semarang,03G801/0973579/03/2026,March,RODA DOLLY IDM -,120.0,BTB,"RODA HAMMERINDO JAYA, PT",0973579
G026,2026-03-05,Dc Tangerang,03G026/0974066/03/2026,March,RODA NON BRAKE ( DEPAN ) -,50.0,BTB,"RODA HAMMERINDO JAYA, PT",0974066
G026,2026-03-05,Dc Tangerang,03G026/0974066/03/2026,March,RODA BRAKE ( BELAKANG ) -,75.0,BTB,"RODA HAMMERINDO JAYA, PT",0974066
G026,2026-03-05,Dc Tangerang,03G026/0974066/03/2026,March,RODA DOLLY IDM -,50.0,BTB,"RODA HAMMERINDO JAYA, PT",0974066
G027,2026-03-06,Dc Bandung,03G027/0974635/03/2026,March,RODA NON BRAKE ( DEPAN ) -,220.0,BTB,"RODA HAMMERINDO JAYA, PT",0974635
G027,2026-03-06,Dc Bandung,03G027/0974635/03/2026,March,RODA BRAKE ( BELAKANG ) -,220.0,BTB,"RODA HAMMERINDO JAYA, PT",0974635
